,naive_128,sve_128_vl128,sve_128_vl256,sve_128_vl512,sme_128_vl128,sme_128_vl256,sme_128_vl512,sme_softmax_128_vl128,sme_softmax_128_vl256,sme_softmax_128_vl512,sme_scaled_128_vl128,sme_scaled_128_vl256,sme_scaled_128_vl512,sme_transpose_128_vl128,sme_transpose_128_vl256,sme_transpose_128_vl512,sme_full_128_vl128,sme_full_128_vl256,sme_full_128_vl512
simTicks,8.95271e+11,4.24422e+11,4.09747e+11,4.02938e+11,4.1265e+11,4.00543e+11,3.98043e+11,4.05792e+11,3.93857e+11,3.90758e+11,4.17907e+11,4.067e+11,4.04098e+11,4.09521e+11,3.98673e+11,3.95968e+11,4.12211e+11,3.97804e+11,3.94291e+11
simSeconds,0.895271,0.424422,0.409747,0.402938,0.41265,0.400543,0.398043,0.405792,0.393857,0.390758,0.417907,0.4067,0.404098,0.409521,0.398673,0.395968,0.412211,0.397804,0.394291
simInsts,1.56846e+08,5.63223e+07,5.42129e+07,5.31582e+07,5.72452e+07,5.39867e+07,5.28026e+07,5.74155e+07,5.40238e+07,5.27732e+07,5.82931e+07,5.47629e+07,5.34313e+07,5.72395e+07,5.39738e+07,5.27861e+07,5.79658e+07,5.42953e+07,5.28935e+07
simOps,1.6217e+08,6.38128e+07,6.17033e+07,6.06486e+07,6.26222e+07,5.93637e+07,5.81796e+07,6.27436e+07,5.9352e+07,5.81013e+07,6.36701e+07,6.014e+07,5.88083e+07,6.26186e+07,5.93539e+07,5.81667e+07,6.3296e+07,5.96265e+07,5.82252e+07
system.cpu.numCycles,8.95271e+08,4.24422e+08,4.09747e+08,4.02938e+08,4.1265e+08,4.00543e+08,3.98043e+08,4.05792e+08,3.93857e+08,3.90758e+08,4.17907e+08,4.06701e+08,4.04098e+08,4.09521e+08,3.98673e+08,3.95968e+08,4.12211e+08,3.97804e+08,3.94291e+08
system.cpu.ipc,0.175234,0.132848,0.132458,0.132078,0.138815,0.134875,0.132748,0.14159,0.137264,0.135149,0.139745,0.134785,0.132325,0.139862,0.135476,0.133402,0.140892,0.136629,0.134255
system.cpu.cpi,5.70664,7.52741,7.54959,7.57126,7.20385,7.41425,7.53309,7.06264,7.28522,7.39922,7.15589,7.4192,7.55713,7.14993,7.3814,7.49617,7.09764,7.31909,7.44852
system.cpu.commitStats0.numInsts,1.56882e+08,5.63836e+07,5.42741e+07,5.32194e+07,5.72819e+07,5.40234e+07,5.28393e+07,5.74561e+07,5.40624e+07,5.28108e+07,5.84005e+07,5.48173e+07,5.34724e+07,5.72762e+07,5.40105e+07,5.28228e+07,5.80772e+07,5.43516e+07,5.29355e+07
system.cpu.commitStats0.committedInstType.MatrixOP,0,0,0,0,131072,32768,8192,131072,32768,8192,131072,32768,8192,131072,32768,8192,131072,32768,8192
system.cpu.commitStats0.numVecInsts,1.43913e+07,5.82747e+06,4.77275e+06,4.24539e+06,3.04433e+06,2.20977e+06,1.86622e+06,3.02126e+06,2.14984e+06,1.78786e+06,3.09345e+06,2.21793e+06,1.86619e+06,3.04225e+06,2.20666e+06,1.8626e+06,3.06838e+06,2.15497e+06,1.78428e+06
