,naive_32,sve_32_vl128,sve_32_vl256,sve_32_vl512,sme_full_32_vl128,sme_full_32_vl256,sme_full_32_vl512
simTicks,1.29601e+11,9.84533e+10,9.75262e+10,9.71842e+10,9.92297e+10,9.83518e+10,9.81444e+10
simSeconds,0.129601,0.098453,0.097526,0.097184,0.09923,0.098352,0.098144
simInsts,1.95553e+07,1.31356e+07,1.30038e+07,1.29379e+07,1.32302e+07,1.29969e+07,1.29076e+07
simOps,2.08889e+07,1.46055e+07,1.44737e+07,1.44078e+07,1.45656e+07,1.43326e+07,1.42434e+07
system.cpu.numCycles,1.29601e+08,9.84533e+07,9.75262e+07,9.71843e+07,9.92297e+07,9.83518e+07,9.81444e+07
system.cpu.ipc,0.150959,0.133576,0.133494,0.133286,0.13347,0.132254,0.131614
system.cpu.cpi,6.62433,7.48636,7.49096,7.50268,7.49234,7.56121,7.59795
system.cpu.commitStats0.numInsts,1.95644e+07,1.3151e+07,1.30192e+07,1.29533e+07,1.32442e+07,1.30074e+07,1.29172e+07
system.cpu.commitStats0.committedInstType::MatrixOP,0,0,0,0,8192,2048,512
system.cpu.commitStats0.numVecInsts,1.06328e+06,527241,461321,428361,352857,295001,271449
system.mem_ctrl.readReqs,7.43807e+06,4.18311e+06,4.14818e+06,4.13176e+06,4.04561e+06,3.99964e+06,3.98673e+06
system.mem_ctrl.writeReqs,2.10101e+06,1.81509e+06,1.81496e+06,1.8149e+06,1.84752e+06,1.83018e+06,1.82141e+06
system.mem_ctrl.avgRdBWSys,1.3951e+09,1.35643e+09,1.35724e+09,1.35664e+09,1.32418e+09,1.32296e+09,1.32274e+09
system.mem_ctrl.avgWrBWSys,1.0897e+08,1.31859e+08,1.33112e+08,1.33581e+08,1.32477e+08,1.32973e+08,1.32925e+08
system.mem_ctrl.dram.readRowHitRate,88.19,86.47,86.41,86.38,83.65,83.57,83.54
system.mem_ctrl.dram.writeRowHitRate,91.24,91.58,91.64,91.66,91.95,91.88,91.92
system.mem_ctrl.requestorReadAvgLat::cpu.inst,24780.1,24151,24181.3,24242.9,25282,25325.5,25344.8
system.mem_ctrl.dram.rank0.totalEnergy,1.03838e+11,6.58425e+10,6.52056e+10,6.496e+10,6.57934e+10,6.51688e+10,6.50248e+10
system.mem_ctrl.dram.rank1.totalEnergy,9.15962e+10,7.3287e+10,7.26599e+10,7.24135e+10,7.40919e+10,7.3403e+10,7.32192e+10
