,naive_64,sve_64_vl128,sve_64_vl256,sve_64_vl512,sme_64_vl128,sme_64_vl256,sme_64_vl512,sme_softmax_64_vl128,sme_softmax_64_vl256,sme_softmax_64_vl512,sme_scaled_64_vl128,sme_scaled_64_vl256,sme_scaled_64_vl512,sme_transpose_64_vl128,sme_transpose_64_vl256,sme_transpose_64_vl512,sme_full_64_vl128,sme_full_64_vl256,sme_full_64_vl512
simTicks,3.23357e+11,2.00653e+11,1.97317e+11,1.95625e+11,2.01231e+11,1.98167e+11,1.9757e+11,1.97326e+11,1.94279e+11,1.93555e+11,2.04209e+11,2.01369e+11,2.00783e+11,2.00111e+11,1.97343e+11,1.96705e+11,1.99888e+11,1.96354e+11,1.95546e+11
simSeconds,0.323357,0.200653,0.197317,0.195625,0.201231,0.198167,0.19757,0.197326,0.194279,0.193555,0.204209,0.201369,0.200783,0.200111,0.197343,0.196705,0.199888,0.196354,0.195546
simInsts,5.21428e+07,2.6829e+07,2.63016e+07,2.60379e+07,2.70491e+07,2.62312e+07,2.59339e+07,2.70923e+07,2.62411e+07,2.59272e+07,2.74342e+07,2.65484e+07,2.62142e+07,2.70465e+07,2.62249e+07,2.59258e+07,2.72287e+07,2.63059e+07,2.59532e+07
simOps,5.47993e+07,3.00281e+07,2.95008e+07,2.92371e+07,2.972e+07,2.89021e+07,2.86048e+07,2.97511e+07,2.88999e+07,2.85859e+07,3.01051e+07,2.92193e+07,2.88851e+07,2.97184e+07,2.88973e+07,2.85984e+07,2.98884e+07,2.89662e+07,2.86138e+07
system.cpu.numCycles,3.23357e+08,2.00654e+08,1.97317e+08,1.95625e+08,2.01231e+08,1.98167e+08,1.97571e+08,1.97326e+08,1.94279e+08,1.93555e+08,2.04209e+08,2.01369e+08,2.00784e+08,2.00111e+08,1.97343e+08,1.96705e+08,1.99888e+08,1.96354e+08,1.95546e+08
system.cpu.ipc,0.161311,0.133861,0.133452,0.133258,0.134509,0.132462,0.131357,0.137395,0.135166,0.134048,0.13452,0.131953,0.130657,0.13525,0.132983,0.131894,0.136405,0.13409,0.132822
system.cpu.cpi,6.19922,7.47045,7.49335,7.50423,7.43443,7.54933,7.61284,7.27829,7.3983,7.46001,7.43382,7.57846,7.65365,7.39374,7.51975,7.58186,7.33111,7.45765,7.52886
system.cpu.commitStats0.numInsts,5.2161e+07,2.68596e+07,2.63323e+07,2.60686e+07,2.70675e+07,2.62496e+07,2.59523e+07,2.71117e+07,2.626e+07,2.59457e+07,2.74703e+07,2.65712e+07,2.62337e+07,2.70649e+07,2.62433e+07,2.59441e+07,2.72657e+07,2.63292e+07,2.59729e+07
system.cpu.commitStats0.committedInstType.MatrixOP,0,0,0,0,32768,8192,2048,32768,8192,2048,32768,8192,2048,32768,8192,2048,32768,8192,2048
system.cpu.commitStats0.numVecInsts,3.81606e+06,1.67384e+06,1.41016e+06,1.27832e+06,975569,766161,679889,970169,751545,660665,987846,768198,679878,974512,764592,678064,981443,752067,658883
system.mem_ctrl.readReqs,2.1501e+07,8.74138e+06,8.61827e+06,8.55256e+06,8.47998e+06,8.31542e+06,8.26743e+06,8.20897e+06,8.03515e+06,7.98369e+06,8.39595e+06,8.22703e+06,8.18204e+06,8.43723e+06,8.271e+06,8.22224e+06,8.21145e+06,8.02605e+06,7.97621e+06
system.mem_ctrl.writeReqs,4.73263e+06,3.62242e+06,3.62216e+06,3.62191e+06,3.74385e+06,3.67729e+06,3.64401e+06,3.75538e+06,3.68614e+06,3.65132e+06,3.74284e+06,3.67654e+06,3.64352e+06,3.74386e+06,3.6773e+06,3.64402e+06,3.75437e+06,3.68538e+06,3.65082e+06
system.mem_ctrl.avgRdBWSys,1.40986e+09,1.35731e+09,1.35636e+09,1.35738e+09,1.34363e+09,1.34177e+09,1.34209e+09,1.34247e+09,1.34081e+09,1.34009e+09,1.31674e+09,1.31417e+09,1.31353e+09,1.33786e+09,1.33608e+09,1.33526e+09,1.32613e+09,1.32375e+09,1.32333e+09
