,naive_32,sve_32_vl128,sve_32_vl256,sve_32_vl512,sme_32_vl128,sme_32_vl256,sme_32_vl512,sme_softmax_32_vl128,sme_softmax_32_vl256,sme_softmax_32_vl512,sme_scaled_32_vl128,sme_scaled_32_vl256,sme_scaled_32_vl512,sme_transpose_32_vl128,sme_transpose_32_vl256,sme_transpose_32_vl512,sme_full_32_vl128,sme_full_32_vl256,sme_full_32_vl512
simTicks,1.29601e+11,9.84533e+10,9.75262e+10,9.71842e+10,1.00037e+11,9.93253e+10,9.91808e+10,9.80035e+10,9.72988e+10,9.712e+10,1.01668e+11,1.00968e+11,1.00815e+11,9.96329e+10,9.89911e+10,9.88357e+10,9.92297e+10,9.83518e+10,9.81444e+10
simSeconds,0.129601,0.098453,0.097526,0.097184,0.100037,0.099325,0.099181,0.098004,0.097299,0.09712,0.101668,0.100968,0.100815,0.099633,0.098991,0.098836,0.09923,0.098352,0.098144
simInsts,1.95553e+07,1.31356e+07,1.30038e+07,1.29379e+07,1.31855e+07,1.29794e+07,1.29044e+07,1.31967e+07,1.29822e+07,1.29031e+07,1.33434e+07,1.31203e+07,1.30361e+07,1.31843e+07,1.29764e+07,1.29004e+07,1.32302e+07,1.29969e+07,1.29076e+07
simOps,2.08889e+07,1.46055e+07,1.44737e+07,1.44078e+07,1.45234e+07,1.43173e+07,1.42423e+07,1.45315e+07,1.43171e+07,1.4238e+07,1.46813e+07,1.44582e+07,1.4374e+07,1.45227e+07,1.4315e+07,1.42392e+07,1.45656e+07,1.43326e+07,1.42434e+07
system.cpu.numCycles,1.29601e+08,9.84533e+07,9.75262e+07,9.71843e+07,1.00037e+08,9.93253e+07,9.91808e+07,9.80036e+07,9.72988e+07,9.712e+07,1.01668e+08,1.00968e+08,1.00816e+08,9.96329e+07,9.89911e+07,9.88358e+07,9.92297e+07,9.83518e+07,9.81444e+07
system.cpu.ipc,0.150959,0.133576,0.133494,0.133286,0.131898,0.130768,0.130203,0.134752,0.133522,0.132953,0.13138,0.130048,0.129401,0.132422,0.13118,0.130618,0.13347,0.132254,0.131614
system.cpu.cpi,6.62433,7.48636,7.49096,7.50268,7.58159,7.64711,7.68031,7.42106,7.48939,7.52148,7.61151,7.68946,7.7279,7.5516,7.62314,7.65593,7.49234,7.56121,7.59795
system.cpu.commitStats0.numInsts,1.95644e+07,1.3151e+07,1.30192e+07,1.29533e+07,1.31947e+07,1.29886e+07,1.29136e+07,1.32061e+07,1.29916e+07,1.29124e+07,1.33571e+07,1.31307e+07,1.30457e+07,1.31936e+07,1.29856e+07,1.29097e+07,1.32442e+07,1.30074e+07,1.29172e+07
system.cpu.commitStats0.committedInstType.MatrixOP,0,0,0,0,8192,2048,512,8192,2048,512,8192,2048,512,8192,2048,512,8192,2048,512
system.cpu.commitStats0.numVecInsts,1.06328e+06,527241,461321,428361,351463,298727,276967,350287,295247,272335,354524,299228,276956,350918,297926,276038,352857,295001,271449
