,naive_64,sve_64_vl128,sve_64_vl256,sve_64_vl512,sme_full_64_vl128,sme_full_64_vl256,sme_full_64_vl512
simTicks,3.23357e+11,2.00653e+11,1.97317e+11,1.95625e+11,1.99888e+11,1.96354e+11,1.95546e+11
simSeconds,0.323357,0.200653,0.197317,0.195625,0.199888,0.196354,0.195546
simInsts,5.21428e+07,2.6829e+07,2.63016e+07,2.60379e+07,2.72287e+07,2.63059e+07,2.59532e+07
simOps,5.47993e+07,3.00281e+07,2.95008e+07,2.92371e+07,2.98884e+07,2.89662e+07,2.86138e+07
system.cpu.numCycles,3.23357e+08,2.00654e+08,1.97317e+08,1.95625e+08,1.99888e+08,1.96354e+08,1.95546e+08
system.cpu.ipc,0.161311,0.133861,0.133452,0.133258,0.136405,0.13409,0.132822
system.cpu.cpi,6.19922,7.47045,7.49335,7.50423,7.33111,7.45765,7.52886
system.cpu.commitStats0.numInsts,5.2161e+07,2.68596e+07,2.63323e+07,2.60686e+07,2.72657e+07,2.63292e+07,2.59729e+07
system.cpu.commitStats0.committedInstType::MatrixOP,0,0,0,0,32768,8192,2048
system.cpu.commitStats0.numVecInsts,3.81606e+06,1.67384e+06,1.41016e+06,1.27832e+06,981443,752067,658883
system.mem_ctrl.readReqs,2.1501e+07,8.74138e+06,8.61827e+06,8.55256e+06,8.21145e+06,8.02605e+06,7.97621e+06
system.mem_ctrl.writeReqs,4.73263e+06,3.62242e+06,3.62216e+06,3.62191e+06,3.75437e+06,3.68538e+06,3.65082e+06
system.mem_ctrl.avgRdBWSys,1.40986e+09,1.35731e+09,1.35636e+09,1.35738e+09,1.32613e+09,1.32375e+09,1.32333e+09
system.mem_ctrl.avgWrBWSys,9.37484e+07,1.29006e+08,1.31187e+08,1.32322e+08,1.32672e+08,1.33673e+08,1.33544e+08
system.mem_ctrl.dram.readRowHitRate,88.14,86.78,86.6,86.59,83.77,83.63,83.59
system.mem_ctrl.dram.writeRowHitRate,91.36,91,91.08,91.03,91.95,91.98,91.93
system.mem_ctrl.requestorReadAvgLat::cpu.inst,25620.4,24019.4,24313.7,24478.3,25247.4,25326.4,25365.2
system.mem_ctrl.dram.rank0.totalEnergy,2.92922e+11,1.38078e+11,1.35651e+11,1.34319e+11,1.33539e+11,1.30603e+11,1.29898e+11
system.mem_ctrl.dram.rank1.totalEnergy,2.14262e+11,1.47046e+11,1.45013e+11,1.43986e+11,1.48685e+11,1.46337e+11,1.45756e+11
